Latitude,Longitude
40.737064,-73.993317
40.737064,-73.993317
40.850647,-73.908646
40.840324,-73.841766
40.771603,-73.981476
40.830379,-73.949387
40.673286,-73.9515
40.67585,-73.954659
40.629036,-73.987877
40.690117,-73.944717
40.622852,-73.962555
40.715473,-74.007195
40.704681,-74.008453
40.805653,-73.939529
40.731037,-73.990128
40.684566,-73.944366
40.777397,-73.914558
40.738071,-73.999268
40.72654,-73.976555
40.7192,-73.98288
40.713833,-73.987251
40.722389,-73.991959
40.733185,-73.95443
40.706429,-73.964127
40.726116,-73.954376
40.661404,-73.728401
40.826031,-73.939957
40.721256,-74.002823
40.713268,-73.989479
40.865395,-73.892982
40.879494,-73.851479
40.744408,-73.981468
40.846821,-73.934479
40.838806,-73.937317
40.575768,-73.956886
40.71727,-74.002663
40.717396,-73.994957
40.717747,-73.995537
40.71804,-73.995377
40.719032,-73.993706
40.688564,-73.989632
40.680618,-73.927673
40.658234,-73.990105
40.741608,-73.855789
40.793739,-73.93856
40.764183,-73.993858
40.722172,-74.008545
40.655228,-73.909683
40.67952,-73.936424
40.863045,-73.923233
40.753651,-73.990417
40.753796,-73.990028
40.753796,-73.990028
40.640472,-74.006737
40.679977,-73.978882
40.665863,-73.893555
40.684196,-73.831871
40.705624,-73.91291
40.643173,-74.018814
40.739712,-73.919144
40.775112,-73.915382
40.727825,-73.999893
40.748348,-73.994232
40.747341,-74.004997
40.758343,-73.989769
40.748055,-74.004486
40.783222,-73.948181
40.782719,-73.947807
40.782379,-73.948128
40.781796,-73.948494
40.706528,-73.964111
40.728741,-73.983833
40.719467,-74.003136
40.83831,-73.864334
40.682457,-73.916245
40.671486,-73.863388
40.666508,-73.728516
40.799786,-73.943321
40.605534,-73.95533
40.833122,-73.925453
40.583843,-73.953308
40.715111,-74.006348
40.841125,-73.937576
40.779743,-73.977753
40.863571,-73.837296
40.638493,-74.014938
40.682373,-73.962952
40.737572,-73.984955
40.815544,-73.917526
40.825096,-73.81913
40.863571,-73.837296
40.71254,-73.965324
40.701122,-73.814491
40.694538,-73.967888
40.610794,-74.011658
40.854832,-73.931862
40.715084,-73.991577
40.717094,-73.995018
40.886276,-73.85363
40.826805,-73.846458
40.576641,-73.956238
40.64048,-73.951622
40.730843,-73.815346
40.742039,-73.982613
40.826065,-73.876389
40.753029,-73.990288
40.713905,-73.985718
40.677723,-73.99575
40.634827,-73.952919
40.813129,-73.955574
40.781796,-73.948494
40.7243,-73.999641
40.89135,-73.852707
40.680618,-73.916527
40.673717,-73.917412
40.594845,-73.753929
40.738304,-74.001923
40.809196,-73.951324
40.682503,-73.875519
40.749126,-73.877831
40.732609,-73.866882
40.588039,-73.940872
40.667625,-73.737068
40.725571,-73.945976
40.73909,-74.000275
40.795864,-73.948273
40.72823,-73.980721
40.809669,-73.893555
40.673279,-73.934494
40.633476,-74.120361
40.808243,-73.944061
40.756451,-73.97744
40.674938,-73.999184
40.743198,-73.823196
40.853996,-73.936073
40.778393,-73.780655
40.736382,-73.982361
40.842453,-73.893219
40.63591,-74.024979
40.715084,-73.991577
40.846958,-73.894371
40.681053,-74.004028
40.692242,-73.98127
40.778393,-73.780655
40.750561,-74.002464
40.712044,-73.948792
40.778393,-73.780655
40.722408,-73.992149
40.635353,-74.023582
40.677547,-73.888031
40.7178,-74.001419
40.650753,-73.736557
40.702415,-73.811417
40.72533,-73.980782
40.730022,-74.002838
40.79668,-73.969795
40.760323,-73.990593
40.822594,-73.951805
40.69775,-73.912605
40.851429,-73.936806
40.685055,-73.907387
40.635143,-73.984512
40.718712,-73.947395
40.661449,-73.997383
40.745834,-73.951912
40.77158,-73.94989
40.770153,-73.957008
40.632813,-73.990448
40.651543,-73.938828
40.598877,-73.950943
40.612148,-73.954735
40.717094,-73.995018
40.85078,-73.940735
40.781605,-73.97905
40.871433,-73.902718
40.66468,-73.992447
40.726925,-73.991951
40.67741,-73.980469
40.727623,-73.957443
40.822594,-73.951805
40.872486,-73.875099
40.840508,-73.921051
40.712749,-73.960114
40.697552,-73.971977
40.66468,-73.992447
40.654633,-73.924568
40.691708,-73.984673
40.737247,-73.900185
40.776009,-73.823593
40.809196,-73.951324
40.758343,-73.989769
